paragraph,label
the aerospace manufacturing and aviation industries play a profound role in our world safety will always be our top priority,"[5, 9, 26]"
boeings mission is to protect connect and explore our world and beyond every day we are dedicated to carrying out our mission safely and sustainably boeing is pursuing sustainable aerospace together because we know it is an imperative and because our teammates are committed to making the,"[0, 10]"
throughout boeings long history we have looked for ways to enhance sustainability in everything we do this commitment to innovate is deeply rooted in our core values where we continue to reinforce safety as our top priority strive for first time quality and hold ourselves to the highest ethical standards to support a more sustainable future,"[0, 14, 26]"
by2050 our industry sees a world where air travel will carry over 10 billion passengers a year support 180 million jobs and generate nearly 9 trillion in economic activity all while furthering our goal of minimizing the impact,"[21, 0, 26]"
advancing the future of flight and improving the world for future generations requires a multifaceted approach our focus on esg is embedded in our culture and our stakeholders expectations including our current and,"[0, 2, 8]"
to address climate change boeing continues to collaborate with partners across the globe on innovation and clean technology to get commercial aviation to netzero carbon emissions we are finding more efficient ways for our commercial and defense customers to operate their fleets and we are investing heavily in sustainable aviation fuels considered the safest and most measurable solution to reduce aviation carbon emissions over the next 20,"13, 25"
our people are our most important asset employee safety and wellbeing is our priority we have taken steps to create open candid and respectful environments for all our teammates not just within our four walls but within the communities where we live and work boeings seek speak listen habits are foundational to a culture of integrity and inclusion we are committed to increasing the representation of women and underrepresented racial and ethnic minorities at every level of our company and we continue to invest in our future through technical and educational organizations that inspire the next generation of aerospace innovators,"8, 9, 10"
most recently our focus has been on our employees affected by the war in ukraine,"8, 10, 26"
our board of directors works closely with boeing leaders to ensure we hold ourselves to the highest standards in our work ethical conduct and information protection we all sign a code of conduct annually and commit to prioritizing safety quality and integrity and holding one another accountable through the boards governance public policy committee we have enhanced our practices and policies and formalized oversight of public policy political advocacy and corporate sustainability practices including matters related to environmental stewardship and climate change and to diversity equity,"0, 1, 10"
opportunity lies before us as we advance safe and sustainable aerospace which is,23
boeing established its first chief sustainability officer role and formed a global enterprise sustainability organization in september 2020 but that was not the beginning of our focus on sustainability many environmental social and governance esg elements have been part of boeings fabric throughout our 106 year aerospace history and we must always learn and continuously improve in1929bill boeing said our job is to keep everlastingly at research and experiment,25
through collaboration with our stakeholders we learned a lot in2021 and we see exciting opportunity going forward while we still have more to learn the following are a few reflections on the journey,26
aerospace has always been about efficiency and has competed on innovation and fuel efficiency to meet customers expectations climate change and de carbon izing aerospace have further increased the urgency for progress airlines defense customers leasing companies and governments around the globe are aligning to bold climate change ambitions we support the commercial aviation industry s ambition to achieve netzero carbon emissions by 2050boeings strategy to de carbon ize aviation is focused,"[13, 25, 0]"
aerospace plays a profound role in our world and enables societal benefits aerospace connects and protects and while the covid19 pandemic challenged the industry it also reminded us of our industry s value people all over the world yearned to be connected to others and global air transport delivered necessary products and goods to peoples doorsteps billions of passengers fly every year to connect with loved ones explore new places and understand cultures engage in commerce and care for those in need dave mentioned the industry s vision for sustainable growth by2050 which will require us to work learn and solve challenges together to create future opportunities for passengers workers and economies at,"[0, 17, 26]"
to explore and mature sustainable solutions we must continue to work together with partners across our communities our industry academia governments and nongovernmental organizations and philanthropic foundations given each,"[10, 11, 26]"
boeing also participated in cop26 where the world convened to discuss climate change across all industries and on a global scale there the world economic forum in partnership with us special presidential,"[13, 25, 26]"
going forward we will remain focused on employee wellbeing and safety global aviation safety equity diversity and inclusion sustainable operations innovation and clean tech and global community engagement among many other important elements,"9, 17, 8"
as we look to the future of flight aerospace innovation is energized by how to de carbon ize the industry boeings strategy is focused,"[25, 3]"
these are ambitious challenges throughout our industry and our company history we,"[3, 11, 12]"
in that spirit we are on a journey to solve sustainable aerospace challenges together we appreciate our stakeholders partnership for shared successes as we move forward,No_sufficient_information
boeing remains committed to pioneering sustainable aerospace for current and future generations this involves a long history of innovative solutions with our people and partnerships that are foundational to all we do while the activities on the map are not exhaustive they give an indication of the actions we have taken and the partnerships we have formed around the globe to,"24, 0, 26"
nicola sturgeon center scotlands first female first minister and the first female leader of any of the devolved you k administrations met with women attending the boeing,"[8, 26, 26]"
cover photo carla davis madge tt vice president of boeings environment health safety organization recently participated in a,[9]
announced partnership with sky nrg to scale availability and use of sustainable,23
showcased new technologies tested on eco demonstrator to stem focused students part of the alaska native science engineering program,23
partnered with nasa langley research center to test the emissions of safon eco demonstrator,25
hosted innovation forum in glasgow convening industry to discuss de carbon izing aerospace within the region and globally,13
became founding member of first movers coalition partnering with leading companies to accelerate new technology development,3
hosted 2021stem event at san francisco international airport to showcase eco demonstrators sustainable technologies,"[23, 15, 25]"
participated in cop26 highlighting our perspectives innovations and partnerships for a more sustainable,"['Systemic_Risk_Management', 'Business"
bought 2milliongallons76 million liters of saf blended with epic fuels to power commercial airplanes operations,"20, 14, 3"
boeings board recognizes that the company s long term interests are advanced when members are responsive to the concerns,"[7, 10, 26]"
the audit committee and the full board over see our compliance and ethics programs through close collaboration with boeings chief compliance officer cco and periodic reviews of program metrics these touchpoints provide visibility to the board of significant compliance and ethics risks as well as specific cases that are identified through the companys various reporting channels,"[0, 5, 10]"
at boeing our first commitment is to the people and customers who rely on our products and services to protect connect and explore our world and beyond each of us has a personal responsibility to honor that promise and to serve as stewards of our company s legacy of aerospace excellence and innovation new employees sign,"[0, 6, 10]"
integrity is a core company value and boeing strictly for bids bribery and corruption of,['Business ethics']
boeing publishes an internal policy that explains its anticorruption and anti bribery requirements and expectations for employees while making its guidelines for ethical business conduct publicly available to employees and other stakeholders the company also makes employees aware of their federally protected whistleblower rights which are designed to protect employees against retaliation for reporting potential wrongdoing by a yous contractor or subcontractor,"[0, 26, 26]"
boeing is committed to responsible business practices and promoting positive change,0
boeing provides several confidential and anonymous reporting options for employees to report concerns seek guidance or share ideas reporting channels include managers the yous domestic and international ethics hotlines compliance and ethics officers embedded in the business and the speak up website that houses online portals for employees to report issues retaliation against reporting parties is strictly prohibited action is taken against violators of our anti retaliation policies,"[0, 1, 11]"
we are enhancing our ability to analyze available reporting data to identify areas of concern and understand the root because of the problem allowing us to promptly escalate issues to appropriate leaders and work with business partners to mitigate and address risks the chart below demonstrates boeings robust reporting culture and boeings efforts to respond additionally our anonymous reporting rate of 13i slower than other published benchmarks which suggests employees generally trust management,"[1, 4, 11]"
the past few years have challenged our company like never before reinforcing our unwavering focus on safety quality integrity and transparency we recognize the need to drive continuous improvement in all that we do and in the past year have taken the following action,"[9, 11, 13]"
over the past year individuals teams and leaders around the world have helped,No_sufficient_information
these habits help us learn from others diverse perspectives speak up about issues or ideas and listen with openness and curiosity embedding these habits in everything we do helps us to continuously improve,"8, 10, 26"
ssl is fundamental to who we are as a company and how we work together 85of team members surveyed said they use the habits in their day today interactions with this open and inclusive culture improved business outcomes follow in safety quality production performance and inclusion,"8, 10, 19"
in2021 boeing launched a new ethics ambassador program designed to ensure our future leaders embody integrity and to further connect the compliance program,"0, 8"
piloted at boeing philadelphia in april 2021 the ethics ambassador program is a leadership development program developed for boeing employees embedded within,"[0, 8]"
boeing philadelphia ethics ambassadors christine vasko tasha silas and ie isha hinson each provide a friendly face for more than 4000 local employees who have questions,0
their manager or to our sites compliance and ethics officer but before doing that we will talk things through with someone by giving them our undivided attention and asking curious nonjudgmental questions,"[0, 5, 26]"
to date the ambassadors have engaged more than 2500 teammates sharing information about compliance and ethics via floor walks staff meetings diversity council and business resource group briefings and new employee orientation sessions the program was recently launched at sites in mesa new orleans and north charleston with plans to expand to additional sites in,"[0, 8, 11]"
as a leading global aerospace company boeing develops manufactures and services commercial airplanes defense products,24
this business offers leading and innovative solutions for global defense government and commercial customers across a portfolio that includes mobility and surveillance aircraft fighter jets military rotorcraft human space exploration programs satellites autonomous systems strategic deterrence and weapons systems through strategic investments in research and development defense space security is focused on providing the most digitally advanced simply and efficiently,"[3, 25, 17]"
this business provides services to our commercial and defense customers,"[3, 17]"
boeing capital corporation is a global provider of financing solutions a wholly owned subsidiary of the boeing company boeing capital offers asset backed lending and leasing concentrating on assets that,"[3, 17, 26]"
boeing is committed to protecting connecting and exploring our world and beyond,"[0, 17, 13]"
boeing is committed to transparency through our annual disclosure and reporting cycle we compile and share a broad set of data information and operating examples,"[1, 2, 26]"
throughout 2021we brought together a comprehensive stakeholder engagement strategy that focused on engaging with key stakeholders through proactive ongoing dialogue surveys industry forums and,"[8, 26]"
we continue to embed sustainability across our business building on this important,"[0, 3, 26]"
to address the diverse interests of our stakeholders we have brought together a detailed overview of our environmental social and governance esg activities and data in this report we are providing indexes with alignment to the global reporting initiative gri sustainability accounting standards boards as b task force on climate related financial disclosure st cfd and the united nations sustainable development goals,"[13, 23, 24]"
boeing enhanced its incentive plans as part of its full package of benefits for employees and managers in 2022 to include two new operational performance measures one for climate and one for equity diversity and inclusion building on the 2021 measures of product safety employee safety and quality together these measures account for,8
in2021 employees and managers were motivated by completing model based,"[3, 8]"
the 2022 annual incentive plan design is largely based on the 2021core design measuring both financial performance,24
the board of directors has extensive oversight of strategy development company culture,"7, 0, 8"
at boeing oversight of political activities starts at the top the board works closely with the executive vice president evp of government operations on the oversight,"[0, 7]"
the evp of government operations also works closely with the law and global compliance organization to ensure that the company s political activities adhere to all legal requirements and company policies,"[0, 12]"
you can review the company s oversight and internal compliance procedures for political activities,"[0, 12]"
boeing takes measured risks as an innovation leader the board and senior management avoid imprudent risks and mitigate strategic operational and compliance risks to,"[3, 5, 12]"
the aerospace safety committee asc established in 2019 is responsible for directly overseeing engineering design development manufacturing production operations,3
boeing navigated challenges in 2021 that added to the companys risk profile including,"[5, 11, 18]"
through business continuity management bcm we identify vulnerabilities and develop recovery strategies to minimize the impact of potential threats or disruptions our bcm,"[5, 18, 19]"
we are committed to being a responsible taxpayer wherever we operate our global,No_sufficient_information
please visit our website for information about boeings approach to,24
atour2022 annual meeting of shareholders our board recommended a vote in favor of and our shareholders approved a shareholder proposal requesting a report on the net,"[5, 12, 26]"
3 investigated matters are considered unsubstantiated when the investigation findings do not support a,[26]
boeing achieved netzero carbon emissions at manufacturing sites and other facilities scope 1and2 and in its business travelscope 3category6in2020and2021 by expanding,"['GHG_Emissions', 'Systemic_R"
on the products side boeing committed that its commercial airplanes will be capable to flyon100safby2030 long term we support the commercial aviation industry s ambition,"[17, 6, 26]"
in october 2021we announced our support for the commercial aviation industry s ambition to achieve netzero carbon emissions for global civil aviation operations by2050,"[24, 25]"
boeing protects connects and explores our world and beyond safely and sustainably we believe that safe and sustainable aerospace is an imperative for all of our stakeholders achieving desired de carbonization will require continued partnerships with airlines industry governments and research institutions over decades learn more about our goals and partnerships to de carbon ize aerospace on,"[25, 0, 13]"
in2021 boeing capital corporation reached out to the financial community airline customers and lessors to proactively discuss,"[0, 17, 26]"
build better more equitable communities through corporate investments employee engagement programs and advocacy efforts,8
1the2030ghg reduction target is set with an operational boundary of the boeing company and includes all scope 1andscope2 emissions,25
1climateaction100 netzero company benchmark v11 sector classification scope 3 emissions application,13
the aerospace industry as a whole and boeing face significant climate change driven risks and,"[13, 25, 26]"
1 this relevance is based on the sector classification and scope 3 emissions application of the,"[12, 25]"
there is nothing we can not accomplish when we work together and lead with our values at the end of the day how we do,26
employees are encouraged to raise concerns through the boeing ethics line 18889707171or through the,"[0, 26]"
over the past year we have seen the value inclusion brings to our global team as we continue to advance our equity diversity and inclusion commitments although there is more work to be done we are encouraged,"[8,26]"
in2021 women and racial ethnic minority representation at boeing increased overall as compared with the prior year and in the second half of 2021exit rates for women men and teammates of all races were within 01 point of one another meaning the rate of people exiting was relatively equal among race and gender for the first time we shared data related to women of color disability gender identity and sexual orientation,"[8, 10, 26]"
in2021we established a set of near term aspirations that we are striving to achieve by2025 and introduced the seek speak listen habits to build stronger teams and,"[3, 8, 26]"
with nearly 142000 team members across the yousandinover65 countries we remain committed to recruiting supporting and developing diverse talent,"[8, 26]"
through his leadership both inside and outside of boeing ted colbert ceo of boeing defense space security is developing,No_sufficient_information
his efforts were recognized earlier this year when he was awarded the 2022 black engineer of the year award a prestigious award recognizing a public or private sector leader who has expanded opportunities for african americans in stem,8
boeings commitment to equity diversity and inclusion is first and foremost about treating each other with respect while acknowledging differences at the same time when we not only recognize but also respectfully accept how race gender ability age and life experience affect the perspective people bring to challenges and opportunities we improve the way we innovate and problem solve together said colbert upon receiving the accolade,8
from championing employee resource groups to supporting historically black colleges and universities colbert s leadership has made a profound impact on shaping boeings diversity and inclusion initiatives,8
boeings racial equity task force was established as a thinktank to elevate and amplify the voices of our workforce the team has worked to advance boeings action plan to root out racism advance progress on key measures of equity and inclusion and strengthen the company s commitment,"[8, 26, 3]"
the racial equity task force has partnered with boeings global equity diversity inclusion team to engage thousands of employees strengthen the black experience help employees identify and interrupt bias improve retention,"[8, 10, 26]"
the task force has worked to drive change by incorporating feedback from our stakeholders to outline a path forward for combating racial injustice and building a culture of inclusion and racial equity said paris forest senior director of boeing information technology data analytics and co chair of the racial equity task force,"[0, 8, 10]"
recommendations from this team derived from listening to employees from across the company have been elevated as priorities for the company and include improved ethics and hr processes further enforcement of the company santi harassment and antidiscrimination policies tying,"8, 0"
racial equity task force members left to right top to bottom alonso acosta william amp of o annette bade david baker ear i cabines david canada mallory floyd paris forest ko mako gillan charli greene syed hussain charity i kpe christopher miller elia morales teresa olymp io tommy preston edward rawl jamal redman aro royston ritu sharma wyatt trus chel alex tsosie brandon tyson chin yere udoh christine vasko scott walston,"8, 8, 26"
in2021a boeing philadelphia team brought the talents of neuro divergent people to the company through the autism at work program traditional hiring selection processes may overlook strengths and unduly emphasize weaknesses of neuro divergent people who are often unemployed or underemployed,"[8, 26, 26]"
scaling the autism at work program helps boeing teams worldwide to replicate and customize best practices in neuro diverse hiring,8
the philadelphia teams successful pilot program guided our efforts locally said maja tomczak engineering manager for boeing avion xin poland,No_sufficient_information
boeing women made history in november 2021 when they became the first all female boeing team to lead the engineering support team for,8
in november a73710 test and certification flight was executed by an all female crew chief pilot jennifer henderson attributed this milestone to boeings attention to equity diversity and inclusion over the years left,8
we attract and retain top talent by investing in our people while supporting equity diversity and inclusion boeing offers tuition reimbursement learning professional development and upskilling opportunities read more about our,"[8, 26]"
boeing is addressing the skilled talent shortage with an innovative program to find underrepresented and nontraditional candidates motivated to acquire the skills to win the,"8, 11"
inmid2021boeings learning development experts brainstormed ways to combat hiring pressures from the covid19 pandemic and retiring baby boomers college graduates were not providing the candidate volumes or skills needed for the latest technologies,"12, 17"
we are addressing shortages while bringing powerful new perspectives to our business from diverse skill sets and talent which will strengthen our technical ecosystem said michael for s boeing learning development the socioeconomic impact will provide disrupted workers access to family wage jobs while reducing pay in equity,"8, 11"
boeing is committed to placing at least 1000 technical apprentices into highly skilled technical roles by2025asitscalesup this innovative program the first b tap cohort,"[8, 26, 26]"
since early 2021over2100 boeing employees have completed degree and certificate programs using the learning together program our industry leading tuition assistance benefit which provides generous funding at all levels and teammates can apply the educational benefit toward more than 300 colleges and universities globally,"[8, 11, 26]"
boeing aerostructures australia is addressing the challenge of recruiting and retaining women in traditionally male dominated talent pools of engineering it and mechanical trades,"8, 11, 0"
boeing is partnering with organizations such as women in aviation to introduce a four year apprenticeship program,8
the approach extends beyond developing practical skills to wellbeing safety and belonging across the following pillars,"[8, 9, 10]"
attract partnering with aviation aerospace australia an independent nonprofit association focused on the long term health and sustainability of australias aviation sector providing micro credential courses to women interested in a career,8
recruit working with an organization that promotes supports connects and encourages females in nontraditional roles and trades,8
retain engaging with an organization to deliver a tailored respectful workplace training program which incorporates feedback from former baa apprentices and trade qualified female employees as well as aligns with baas diversity and inclusion goals,"[8, 10]"
boeing launched a series of online self guided digital learning modules providing a view into our sustainability vision and strategy called the,"[12, 2]"
boeing opened several company locations as public covid19 vaccination sites including this one at auburn washington boeing photo,"[2, 10, 26]"
boeing knows that operating to keep ourselves and our teammates safe in the workplace is everyone is responsibility safety is central to everything we do for ourselves those we care about and our communities,9
through automation and robotics boeing has greatly enhanced workplace safety and reduced employee exposure to some high hazards serious injuries significantly decreased by 27from83in2020to61in2021,9
pham said the company goes beyond regulatory compliance and leverages technology to mitigate or prevent workplace safety risks and injuries boeing is working toward incorporating sensor technology and augmented reality into the workplace technology is instrumental in preventing fatalities and in reducing serious and ergonomic injuries it is tangible evidence of boeings prioritized values of safety quality integrity and sustainability,"9, 14, 25"
boeing takes a holistic approach to employee safety and overall wellbeing including physical financial and mental health components at work and at home we value human,"[9, 10, 11]"
building on an existing platform of physical and emotional coaching services boeing added access to virtual primary care behavioral health and musculoskeletal support for those employees who prefer to take advantage of care from the safety and convenience of their homes atnocostin2021 with increased demand for behavioral health services confidential video based visits with a coach or therapist for anxiety depression grief self confidence and medication management proved to be particularly valuable during the pandemic,"[8, 13, 26]"
in addition to help busy parents and other caregivers boeing doubled the number of backup child and adult eldercare days subsidized by the company to 20 days per eligible employee per year backup care may be used when a regular caregiver is unavailable all too common during,2
employees said that boeing could be doing more to support,"8, 9, 11"
effective june 12021 boeing expanded eligibility for certain benefits to cover all qualifying domestic partners of you s employees these benefits include features of the company s health life and accident insurance programs as well as retirement relocation and leave of absence benefits,"8, 26"
employees are able to cover their domestic partner and their domestic partners eligible children under their health care plan,"[8, 11]"
an employee may request a leave of absence to take care of their domestic partner or dependents of a domestic partner with a serious health condition,"[8, 10, 9]"
pension plan participants can elect a joint and survivor payment option with their domestic partner as the beneficiary,"[0, 10]"
this change was made as part of our ongoing effort to create a more inclusive work environment where everyone is respected and feels valued the company also believes that extending these benefits to employees in domestic partnerships will,8
the covid19 pandemic continues to affect lives and businesses in 2021boeings,"[12, 19, 26]"
leah lenz ners daughter was in the first grade and falling behind her classmates in reading skills when leah decided to jump,[26]
boeing started offering free tutoring in early 2021 to support employees in response to the challenges many families were facing during the covid19 pandemic through boeings partnership with bright horizons varsity tutors offers educational tutoring for children in grades k12 including virtual private tutoring small group academic support personalized action plans to meet academic goals and support for children,"8, 17"
lenz nera strength analyst on the t7a program contacted varsity tutors and enrolled her daughter where she was matched with a reading specialist by the,"[8, 17]"
leah recommends the tutoring program to other boeing employees citing the ease in scheduling the service and the benefit it provides to children,"8, 6"
the tutors know what they are doing lenz ner said they knew how to help her,"[8, 26]"
poland has received more than 3 million refugees from ukraine more than all other countries combined employees from all three boeing sites in poland have helped colleagues from kyiv find safe shelter and amenities with all the means to continue their work,"26,11,22"
i thank all our colleagues for their truly outstanding display of humanity said rafal step now ski head of government relations at boeing poland,"4, 10, 16"
leah lenz ner boeing st louis strength analyst on the t7a program used a company provided tutoring program during the pandemic to help her daughter zoe with reading skills boeing photo,No_sufficient_information
our greatest strength as a company is our people prioritizing their wellbeing and providing them opportunities to speak up and be heard is critically important for creating an inclusive workplace i seek to empower and uplift my teammates to provide them space for creativity growth and a sense of purpose because when they succeed we all succeed,"[8, 26, 0]"
our story starts with our people we commit to advancing a collaborative inclusive and globally diverse culture that creates unique careers in aerospace,8
best for vets employer by military times out of 144 companies,No_sufficient_information
top anna sam chuk a boeing employee from kyiv stands in a room at the boeing site in gdansk that is filled with clothes and supplies donated by her local colleagues boeing photo,No_sufficient_information
bottom boeing employees carry supplies to a shelter for ukrainian refugees in the polish city of rz es zw boeing photo,No_sufficient_information
above data based on voluntary confidential self identification by employees,"[1, 3, 8]"
1 all data on gender is collected globally numbers for gender may not total 100 due to team members who identify,"[8, 26, 26]"
2race identification formatting was changed in 2021to more correctly reflect the identities of employees race and ethnicity data reflects the yous workforce only numbers may not total 100 due to inclusion of people who choose,"[1, 3, 26]"
3a veteran is defined as a person who served in the active military naval or air service and who was discharged,26
4a disability is defined as a physical or mental impairment or medical condition that substantially limits a major life activity or a history or record of such an impairment or medical condition,"[8, 10, 26]"
5lgbtqia is a term that includes people of all genders and sexualities such as lesbian gay bisexual transgender questioning queer intersex a sexual pansexual and all others,"8, 23, 26"
learn more about our team and the actions we are taking to recruit support and develop diverse talent while creating an inclusive,8
ted colbert ceo of boeing defense space security is the 2022 black engineer of the year boeing photo,"[12, 13, 14]"
we are seeing progress but will still have work to do,26
maja tomczak an engineering manager for avion x based in gdansk poland is helping to advance inclusion and increase awareness of neuro diversity boeing photo,[8]
from a customers initial request to the creation of the aircraft or product to its use and eventual retirement every stage along the way can be engineered with earth and all its inhabitants in mind this is boeings lifecycle approach design build and deliver each of its products and services with the highest standards of safety quality integrity and sustainability digital solutions span many aspects of our product lifecycle,"[15, 10, 14]"
efficiency is a founding principle for the mq25stingraytheyousnavys first un crewed aerial refuel er instead of diverting fa18 super hornets from their fighter mission to refuel other carrier aircraft the mq25 with its highly efficient commercial engine and lightweight composite skins will be able to stay in the air much longer using little fuel itself to complete its mission,"24, 9"
efficiency is part of the mission but it is also part of our design and production philosophy said jim young boeing mq25chiefengineermq25 is a digitally native aircraft with 3d models of every structure and system even their performance is modeled which helps predict operations and sustainment,15
using the models and validating them over more than 120 flight test hours and three refueling flights has accelerated our confidence in this design and helped us identify improvements much earlier than traditional programs said young,"[3, 14, 11]"
the efficiency thread continues through mq25 production where advanced manufacturing techniques eliminate the need for drilling during aircraft assembly,24
as a result our mechanics are holding digital tablets not drills that guide the assembly process young said it is not only safer and more ergonomic but also helps increase quality and reduce foreign object debris it is all part of supporting the navy sair wing of the future,"24, 14, 19"
safe and sustainable manufacturing technology developed for boeings commercial airplanes has transitioned to improving efficiency of the air power teaming system ats the first military aircraft designed developed and manufactured in australia in over 50 years,"[13, 21, 26]"
our team leverages several advanced technologies including additive manufacturing to produce the aircraft structures in the most efficient manner said phil crothers affordability and technology integration ats,"[2, 24]"
many of the resulting fly away parts are made from,The paragraph does not provide enough information to determine the
to evaluate the benefits of these measures and to uncover where we can strive further we are conducting research,[26]
airpower teaming system manufacturing underway at the boeing melbourne australia site boeing photo,"[3, 21, 26]"
starting in 2015theadr system has been a part of operations for several of boeings global defense customers,3
the adr records over 65000 parameters while executing approximately 36000 sensor based algorithms the derived analytics enable data driven decisions for c17 operations by minimizing unscheduled repairs reducing troubleshooting times and supporting crew training and safety initiatives,"[1, 2, 17]"
we owe it to our customers to keep the c17 flying as efficiently as possible adr enables us to do just that,[17]
an aviator with the royal australian air force performs system checks on ac17 with boeings aircraft data reasoner raaf photo,"[1, 17, 26]"
with a complex emissions reporting process and a busy operation employees at air,"[9, 25, 26]"
since adopting the boeing emissions reporter er solution in 2021 all that has changed,[25]
air astana required a solution that automates the data sorting process and generates ready to use reports with clearly displayed results reducing time spent on repetitive tasks that could otherwise be used for deeper analysis or completing other projects ers tailored and automated data validation,"[1, 15, 17]"
this smart application is part of the boeing flight data analytics suite of fuel efficiency solutions that identifies broad opportunities to reduce fuel consumption costs and emissions,"[1, 13, 25]"
the societal benefits of aerospace are immense it protects and connects people enables livelihoods and cargo provides humanitarian relief and national security and allows for human exploration of space in 201945billionpeopleflew7 trillion in goods were exchanged and the aviation industry supported 877 million jobs aviation benefits beyond borders air transport action group analysis predicts that by2050 air travel will carry over 10 billion passengers a year support 180 million jobs and generate nearly 9 trillion in economic activity,"[17, 2, 26]"
to ensure the benefits of aerospace remain available for generations to come we have work to do we have made great strides since the beginning of the jet age but our greatest accomplishments are yet to come in creating the future of flight boeing is focused on four key areas to de carbon ize aviation throughout this section of the report you will find examples of how boeing is putting this strategy to work,"[25, 26]"
boeing and etihad airways extended their partnership in november 2021 focusing on improving the efficiency of navigation and flight operations the agreement builds upon the etihad dubbed green liner program that has utilized 787s to test new sustainable operations since the original partnership launched in 2019,"[3, 24]"
in past years anetihad787 has served as the boeing eco demonstrator platform while the airline has been at the forefront of incorporating safin to its fleet this includes using safon787 delivery flights and revenue flights where etihad has pioneered new approaches in developing a more sustainable network,"{{24, 15, 0}}"
building on a32 year partnership the program aims to advance sustainable aviation solutions that deliver on the great challenge of lowering emissions while expanding the global economy,"13, 25, 4"
projects include accelerating satellite communications and other space related technologies and enhancing boeings digital twin and model based engineering capabilities these initiatives will further improve the operational efficiency and sustainability of boeings commercial government and defense products,"24, 2, 3"
david pook left boeing research technology melbourne centre manager and shravan singh csiro senior technical adviser to boeing boeing photo,No_sufficient_information
when boeing signed a deal to purchase 2 million gallons of saf from epic fuels for its commercial airplane operations,"[17, 26]"
we used to have to take our saf deliveries and segregate them into a fuel truck said garl now with this large of a shipment it goes straight into the fuel farms at each site,"2, 17"
by2030 all commercial airplanes boeing delivers will be capable to flyon100saf that was the commitment we made in january 2021 keeping that promise requires steady progress and strong partnerships boeing is forging ahead with other stakeholders to advance this drop in replacement for conventional jet fuel,24
a key challenge of saf is creating commercial scale production of price competitive supplies producing this level of saf globally will require significant investment,"[2, 3, 17]"
the rollsroyce747 flying testbed carried out a flight with one trent 1000enginerunningon100sa f rolls royce photo,"[25, 26, 3]"
no one entity can de carbon ize aviation alone so boeing provided technical support for saf flights with two customers on board 737maxs and for rolls royce s100safflightwithits747 testbed in december several boeing leaders boarded a united airlines 7378in chicago for the first ever passenger flight on100saf in one engine they flew to washington dcon500 gallons 1900litersof100saf in one engine and an equivalent volume of conventional jet fuel in the other,"[25, 2, 26]"
united continues to lead from the front when it comes to climate change action united ceo scott kirby said on the day of the historic flight to days saf flight is not only a significant milestone for efforts to de carbon ize our industry,"13, 25"
saf advancements in aviation can happen on the ground as well in late 2021 boeing entered into a long term partnership with the nasa langley research center to test safe missions the two aerospace pioneers joined forces to collect and analyze safe missions on the ground from the 2021boeingeco demonstrator an alaska airlines 7379 the testing included a flight with 100saf in one engine and conventional jet fuel in the other the data collected thus far is consistent with the expectations of the benefits of the renewable fuel working with our industry partners boeing is conducting the research not only to make our commercial airplanes 100saf capable but also to better understand all aspects of,"2, 17, 26"
a big thumbs up from the 100 passengers who flew on the united airlines 7378fromoh are international airport in chicago to ronald reagan washington national airport in virginia on december 12021with100saf in one engine united airlines photo,[26]
the 2021boeingeco demonstrator leaned into the programs mission innovate collaborate accelerate since 2012theeco demonstrator has tested over 200 technologies in a flying laboratory enabling engineers to gain knowledge faster our collaboration with airlines suppliers government agencies and academia allows those learnings to be shared both accelerate the path to products services and production,"3, 5, 17"
one of the best parts the eco demonstrator program is sharing the innovative work we do with others said program manager rael utters collaboration with industry partners,"[23, 19, 14]"
